Epochs,Validation Scores,Validation Running Scores
0,0.6448822681403171,
1,0.5401249399327247,
2,0.7919269581931764,
3,0.7054300816914945,
4,0.5449303219605959,
5,0.7885631907736665,
6,0.5925036040365209,
7,0.7520422873618453,
8,0.7304180682364247,
9,0.2825564632388275,
10,0.7424315233061028,
11,0.6516098029793369,
12,0.7323402210475732,
13,0.6794810187409899,
14,0.6814031715521384,
15,0.695819317635752,
16,0.77462758289284,
0,,0.6448822681403171
1,,0.5401249399327247
2,,0.7919269581931764
3,,0.7054300816914945
4,,0.5449303219605959
5,,0.7885631907736665
6,,0.5925036040365209
7,,0.7520422873618453
8,,0.7304180682364247
9,,0.2825564632388275
10,,0.7424315233061028
11,,0.6516098029793369
12,,0.7323402210475732
13,,0.6794810187409899
14,,0.6814031715521384
15,,0.695819317635752
16,,0.77462758289284
